Sem. Cat.,EN,NT,Audio,Speaker,Source,Ques. / Notes,Sub Sem. Cat.,original spelling,Entry #,Page #,CR,see,Literal Meaning,Speaker 1,Speaker 2
birds,bird (any) ,chųą,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,bird body parts,,1,36,,,,Tommy McGinty,Johnson Edwards
birds,bird egg,chųą ghróʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,bird body parts,,2,36,,,,Tommy McGinty,Johnson Edwards
birds,bird feather,chųą tróʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,bird body parts,,3,36,,,,Tommy McGinty,Johnson Edwards
birds,bird nest,chųą tʼo,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,bird body parts,,4,36,,,,Tommy McGinty,Johnson Edwards
birds,bird wing ,chųą tʼéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,bird body parts,,5,36,,,,Tommy McGinty,Johnson Edwards
birds,blackbird,tetlʼrua,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,6,36,,,,Tommy McGinty,Johnson Edwards
birds,bluebird,chųą denintlʼrun,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,7,36,,,,Tommy McGinty,Johnson Edwards
birds,camp robber (canada jay),tsʼónkʼe,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,8,36,,,,Tommy McGinty,Johnson Edwards
birds,crane,dya,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,9,36,,,,Tommy McGinty,Johnson Edwards
birds,duck (any) ,tyät,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,duck ,tyat,10,36,CR1,,,Tommy McGinty,Johnson Edwards
