EN,NT,Sem. Cat.,Sub Sem. Cat.,Speaker 1,Speaker 2,Source
bird (any) ,chuan,birds,bird body parts,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bird egg,chuan ghróʼ,birds,bird body parts,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bird feather,chuan tróʼ,birds,bird body parts,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bird nest,chuan tʼo,birds,bird body parts,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bird wing ,chuan tʼéʼ,birds,bird body parts,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
blackbird,tetlʼrua,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
bluebird,chuan denintlʼrun,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
camp robber,tsʼónkʼe,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
crane,dya,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
duck (any) ,tyat,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
duck (any) ,chat,birds,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
canvasback,ndaak ttho,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
gadwall,tlin tsén sro,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
goldeneye,tthékʼíʼ,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grebe (eared),dát utthíʼ dettho,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grebe (horned),dát zra,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
grebe (red-neck),dát cho,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
harlequin,tagéa hutyát,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
mallard,nátʼak,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
merganser,łyok tyát,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
old squaw,ahʼaléʼ,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
pintail,dzendyóʼ,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
scaup,łyat tthíʼ denintlʼrun,birds,duck ,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) 
