mb,m
nd,n
nʼ,n
ddh,ƛ̓
tth,ʕ
dh,d
th,t
ƛ̓,dh
ʕ,th
gw,g
kw,k
kh,k
gh,g
khw,k
ghw,g
nj,n
ł,l
tlʼ,tl
tsʼ,ts
sh,s
zh,z
ts,s
dz,z
chʼ,ch
í,i
ì,i
ī,i
iʼ,i
į,i
į́,i
į̀,i
į̄,i
ǐ,i
į̌,i
é,e
è,e
ē,e
eʼ,e
ę,e
ę́,e
ę̀,e
ę̄,e
ě,e
ę̌,e
ä,a
ä́,a
ä̀,a
ǟ,a
ą̈,a
ą̈́,a
ą̈,a
ą̈̄,a
ą̈̌,a
ú,u
ù,u
ū,u
uʼ,u
ų,u
ų́,u
ų̀,u
ų̄,u
ŭ,u
ų̌,u
ó,o
ò,o
ō,o
oʼ,o
ǫ,o
ǫ́,o
ǫ́,o
ǭ,o
ǒ,o
ǫ̌,o
á,a
à,a
ā,a
ą,a
ą́,a
ą̀,a
ą̄,a
ǎ,a
ą̌,a
áá,aa
ayʼ,ay
awʼ,aw
